번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
797,목초,대전,1977,12042,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
798,목초,대관령,2001,5508,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
799,목초,대관령,2002,7723,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
800,목초,대관령,2000,9830,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
801,목초,대관령,2001,5400,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
802,목초,대관령,2002,7994,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
803,목초,대관령,2000,10270,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
804,목초,대관령,2001,5924,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
805,목초,대관령,2002,6780,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
806,목초,대관령,2000,10860,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
807,목초,대관령,2001,5502,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
808,목초,대관령,2002,6089,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
809,목초,대관령,2000,9690,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
810,목초,대관령,2001,6505,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
811,목초,대관령,2002,8780,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
812,목초,대관령,2000,11740,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
813,목초,대관령,2001,5182,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
814,목초,대관령,2002,7777,7.5,-19.2,30.6,0,0,2697.6,73.9,2145.1,48.16,4.6
815,목초,대관령,2000,8180,6.9,-20.2,30.3,0,0,1559.4,71.2,2183.4,48.95,4.3
816,목초,대관령,2001,6044,7.5,-25.6,31.3,0,0,1551.7,74.1,2190,49.2,4.7
