번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량
813,목초,대관령,2001,5182,7.5,-25.6,31.3,0,0,1551.7
814,목초,대관령,2002,7777,7.5,-19.2,30.6,0,0,2697.6
815,목초,대관령,2000,8180,6.9,-20.2,30.3,0,0,1559.4
816,목초,대관령,2001,6044,7.5,-25.6,31.3,0,0,1551.7
817,목초,대관령,2002,7507,7.5,-19.2,30.6,0,0,2697.6
818,목초,대관령,2000,9490,6.9,-20.2,30.3,0,0,1559.4
819,목초,대관령,2001,7277,7.5,-25.6,31.3,0,0,1551.7
820,목초,대관령,2002,9582,7.5,-19.2,30.6,0,0,2697.6
821,목초,대관령,2000,11670,6.9,-20.2,30.3,0,0,1559.4
822,목초,남원,2000,13750,12.1,-19,35.2,17,5,1475.5
823,목초,남원,2000,13410,12.1,-19,35.2,17,5,1475.5
824,목초,남원,2000,11840,12.1,-19,35.2,17,5,1475.5
825,목초,남원,2000,11840,12.1,-19,35.2,17,5,1475.5
826,목초,남원,2000,12360,12.1,-19,35.2,17,5,1475.5
827,목초,남원,2000,10190,12.1,-19,35.2,17,5,1475.5
828,목초,남원,2000,11120,12.1,-19,35.2,17,5,1475.5
829,목초,남원,2000,14590,12.1,-19,35.2,17,5,1475.5
830,목초,남원,2001,10268,12.5,-19.7,35.3,20,6,1467.5
831,목초,남원,2001,8243,12.5,-19.7,35.3,20,6,1467.5
832,목초,남원,2001,8693,12.5,-19.7,35.3,20,6,1467.5
833,목초,남원,2001,8879,12.5,-19.7,35.3,20,6,1467.5
834,목초,남원,2001,10036,12.5,-19.7,35.3,20,6,1467.5
835,목초,남원,2001,9255,12.5,-19.7,35.3,20,6,1467.5
836,목초,남원,2001,9659,12.5,-19.7,35.3,20,6,1467.5
837,목초,남원,2001,12719,12.5,-19.7,35.3,20,6,1467.5
838,목초,남원,2002,11137,12.6,-11.8,35.2,11,2,1624
839,목초,남원,2002,11343,12.6,-11.8,35.2,11,2,1624
840,목초,남원,2002,10045,12.6,-11.8,35.2,11,2,1624
841,목초,남원,2002,11027,12.6,-11.8,35.2,11,2,1624
842,목초,남원,2002,11006,12.6,-11.8,35.2,11,2,1624
843,목초,남원,2002,10372,12.6,-11.8,35.2,11,2,1624
844,목초,남원,2002,11920,12.6,-11.8,35.2,11,2,1624
845,목초,남원,2002,14360,12.6,-11.8,35.2,11,2,1624
846,목초,대관령,2000,7870,6.9,-20.2,30.3,0,0,1559.4
847,목초,대관령,2000,8130,6.9,-20.2,30.3,0,0,1559.4
848,목초,대관령,2000,8280,6.9,-20.2,30.3,0,0,1559.4
849,목초,대관령,2000,9200,6.9,-20.2,30.3,0,0,1559.4
850,목초,대관령,2000,9030,6.9,-20.2,30.3,0,0,1559.4
851,목초,대관령,2000,8200,6.9,-20.2,30.3,0,0,1559.4
852,목초,대관령,2000,8800,6.9,-20.2,30.3,0,0,1559.4
853,목초,대관령,2001,6292,7.5,-25.6,31.3,0,0,1551.7
854,목초,대관령,2001,6684,7.5,-25.6,31.3,0,0,1551.7
855,목초,대관령,2001,6168,7.5,-25.6,31.3,0,0,1551.7
856,목초,대관령,2001,7896,7.5,-25.6,31.3,0,0,1551.7
857,목초,대관령,2001,7909,7.5,-25.6,31.3,0,0,1551.7
858,목초,대관령,2001,7298,7.5,-25.6,31.3,0,0,1551.7
859,목초,대관령,2001,7339,7.5,-25.6,31.3,0,0,1551.7
860,목초,대관령,2002,9207,7.5,-19.2,30.6,0,0,2697.6
861,목초,대관령,2002,9069,7.5,-19.2,30.6,0,0,2697.6
862,목초,대관령,2002,9134,7.5,-19.2,30.6,0,0,2697.6
863,목초,대관령,2002,8973,7.5,-19.2,30.6,0,0,2697.6
864,목초,대관령,2002,9515,7.5,-19.2,30.6,0,0,2697.6
865,목초,대관령,2002,8677,7.5,-19.2,30.6,0,0,2697.6
866,목초,대관령,2002,8849,7.5,-19.2,30.6,0,0,2697.6
867,목초,대관령,2000,9590,6.9,-20.2,30.3,0,0,1559.4
868,목초,대관령,2000,10210,6.9,-20.2,30.3,0,0,1559.4
869,목초,대관령,2000,10210,6.9,-20.2,30.3,0,0,1559.4
870,목초,대관령,2000,10510,6.9,-20.2,30.3,0,0,1559.4
871,목초,대관령,2001,7547,7.5,-25.6,31.3,0,0,1551.7
872,목초,대관령,2001,7602,7.5,-25.6,31.3,0,0,1551.7
873,목초,대관령,2001,7642,7.5,-25.6,31.3,0,0,1551.7
874,목초,대관령,2001,8197,7.5,-25.6,31.3,0,0,1551.7
875,목초,대관령,2002,8882,7.5,-19.2,30.6,0,0,2697.6
876,목초,대관령,2002,8399,7.5,-19.2,30.6,0,0,2697.6
877,목초,대관령,2002,9460,7.5,-19.2,30.6,0,0,2697.6
878,목초,대관령,2002,8486,7.5,-19.2,30.6,0,0,2697.6
879,목초,천안,2009,12841,12.3,-18.2,33.3,1,1,999.9
880,목초,평창,2009,13533,7.4,-18.6,29.9,5,3,1027
881,목초,제주,2009,22151,16,-2.5,33.6,6,2,1304.8
882,목초,진주,2009,15030,13.8,-14.1,33.1,1,1,1608.9
883,목초,천안,2010,10887,12.2,-19.5,34.9,14,5,1378.3
884,목초,평창,2010,11286,7.2,-24,30.1,18,4,1341.2
885,목초,제주,2010,16858,15.6,-2.3,35.8,13,5,1584.9
886,목초,진주,2010,16280,13.1,-12.5,35.2,7,3,1896
887,목초,천안,2011,5030,12,-18.3,34.3,6,4,1845.8
888,목초,평창,2011,12538,6.8,-23.8,28.3,8,2,2085.7
889,목초,제주,2011,13828,15.6,-2.8,34.7,8,3,1478.6
890,목초,진주,2011,9960,13,-15.6,34.7,4,2,2026.4
891,목초,천안,2012,10081,11.9,-17.8,36.4,20,17,1336.7
892,목초,평창,2012,5791,6.5,-23.5,30.7,18,12,1398.8
893,목초,제주,2012,9937,15.7,-2.8,34.9,5,2,2248.3
894,목초,진주,2012,10840,12.7,-14.3,35.4,14,6,1752.9
895,목초,천안,2013,8771,12.3,-19.2,35.6,14,6,1095.6
896,목초,평창,2013,10184,7.5,-26.8,30.1,9,6,1238.3
897,목초,제주,2013,16303,16.5,-1.8,36.3,23,5,859.1
898,목초,진주,2013,14390,13.4,-13,36.7,17,16,1220.6
899,목초,천안,2014,11587,12.8,-14.5,34.6,6,2,1020.5
900,목초,평창,2014,18083,7.7,-19.8,30.6,14,4,876.5
901,목초,제주,2014,13538,16.2,0.1,35.2,3,2,1563.4
902,목초,진주,2014,11830,13.2,-10.6,35.5,6,2,1644.9
903,목초,천안,2015,14559,13,-12.8,36.3,10,5,728
904,목초,평창,2015,9741,8,-19.8,30,16,3,676
905,목초,제주,2015,20372,16.7,-0.7,36.7,7,2,1728.3
906,목초,진주,2015,17652,13.4,-11.5,35.5,11,6,1324.8
907,목초,천안,2016,9083,12.7,-18.6,35.1,17,7,1004.8
908,목초,평창,2016,14821,8.1,-23,32.4,23,10,940.4
909,목초,제주,2016,18745,17,-5.8,35.5,15,7,1416.4
910,목초,진주,2016,16159,13.8,-12.8,37.5,27,18,1734.6
911,목초,천안,2017,7895,11.8,-15.9,35.2,6,3,1305
912,목초,평창,2017,10490,7.3,-21.1,31.1,9,4,996.1
913,목초,제주,2017,20403,16.8,-1.1,37,23,6,773.3
914,목초,진주,2017,16498,13.5,-12,37.1,24,7,766.7
915,옥수수,대구(경북),2014,23360,14.9,-7.4,37.5,22,7,1072.1
916,옥수수,대구(경북),2014,17500,14.9,-7.4,37.5,22,7,1072.1
917,옥수수,대구(경북),2014,20540,14.9,-7.4,37.5,22,7,1072.1
918,옥수수,대구(경북),2014,22350,14.9,-7.4,37.5,22,7,1072.1
919,옥수수,대구(경북),2014,16190,14.9,-7.4,37.5,22,7,1072.1
920,옥수수,대구(경북),2014,17970,14.9,-7.4,37.5,22,7,1072.1
921,옥수수,대구(경북),2014,19200,14.9,-7.4,37.5,22,7,1072.1
922,옥수수,대구(경북),2014,19770,14.9,-7.4,37.5,22,7,1072.1
